,NTACode,NTAName,NTA Latitude,NTA Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
146,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Café 232,40.69083972710907,-73.95952047336452,Café
147,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Clementine Bakery,40.68747316743352,-73.95974755126716,Bakery
148,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Yva yoga,40.69253121735136,-73.95981825762495,Yoga Studio
149,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Luigi's Pizzeria,40.689689,-73.965508,Pizza Place
150,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Fan Fan Doughnuts,40.68911547188819,-73.95710706710815,Donut Shop
151,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,U-Gu,40.69375966638121,-73.96291254952853,Japanese Restaurant
152,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Adrian Fanus Grooming,40.69085002557811,-73.95707680974661,Health & Beauty Service
153,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Chilo's,40.68841795746922,-73.95698084287369,Taco Place
154,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,BKG Coffee Roasters,40.69395312247511,-73.96193053248149,Coffee Shop
155,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Petee's Cafe,40.69360595458488,-73.96466483860357,Pie Shop
156,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Underwood Park,40.68824938507015,-73.96617543235818,Playground
157,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Dou Yoga,40.68690265314925,-73.96296501159668,Yoga Studio
158,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Soco,40.69369808345203,-73.96452603210965,Cajun / Creole Restaurant
159,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Brooklyn Kolache Co.,40.690724,-73.955763,Coffee Shop
160,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,C'mon Everybody,40.68837542167422,-73.95701778856358,Cocktail Bar
161,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,For All Things Good,40.687614,-73.956819,Mexican Restaurant
162,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Leisure Life NYC,40.694096,-73.961887,Men's Store
163,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Blick Art Materials,40.69344477600514,-73.96372264972018,Arts & Crafts Store
164,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Corkscrew Wines Brooklyn,40.69345289536232,-73.96551381457618,Wine Shop
165,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Tipsy,40.693796,-73.961243,Wine Shop
166,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Taqueria Tepango,40.69390008688846,-73.96183194592972,Mexican Restaurant
167,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Jane Bailey Memorial Garden,40.68750467728784,-73.95824432373047,Garden
168,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Izzy Rose,40.686778,-73.962721,Cocktail Bar
169,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Moot Bar,40.69404932020927,-73.96119888025348,Bar
170,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Castros,40.69386129298784,-73.96442206286395,Mexican Restaurant
171,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Bergen Bagels on Myrtle,40.693711512112635,-73.96365451782866,Bagel Shop
172,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Brooklyn Tap House,40.693909976045134,-73.9607399297915,Sports Bar
173,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Key Food,40.69352732229553,-73.96518303072537,Market
174,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Rustik Tavern,40.690737,-73.958288,Bar
175,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Kitten Espresso Bar,40.68829171911236,-73.95707062523857,Coffee Shop
176,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Bouchon,40.68902500061513,-73.95726801949237,Wine Shop
177,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Tailfeather,40.694154,-73.960898,Wine Bar
178,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Fan Fried Rice Bar,40.69085208467699,-73.95581637881355,Taiwanese Restaurant
179,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Brooklyn Nights,40.69074488364869,-73.95706937788925,Bar
180,BK69,Clinton Hill,40.690319302810494,-73.96155036261914,Dee and Ricky Homecooking,40.69360879703554,-73.96471271702187,Caribbean Restaurant
